[info]
Anlage=SENA Bogota
Datum=180224
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;s;;%;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
[Start]
08:30:00;900;3;100;288.3;3.21;926;220.5;4.03;889;25;222;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:30:00;900;4;100;296.7;3.10;919;221.7;3.98;883;25;220;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:45:00;900;1;100;259.9;2.55;664;221.9;2.87;638;24;158;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:45:00;900;2;100;304.2;2.52;765;219.2;3.35;735;26;184;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:45:00;900;3;100;285.2;2.80;799;220.3;3.48;768;26;192;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:45:00;900;4;100;293.9;2.69;791;220.9;3.44;759;26;189;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:00:00;900;1;100;266.6;3.30;881;221.7;3.81;846;24;211;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:00:00;900;2;100;306.3;3.27;1002;218.8;4.40;962;26;239;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:00:00;900;3;100;287.9;3.62;1041;219.5;4.55;1000;26;248;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:00:00;900;4;100;297.4;3.48;1035;220.6;4.50;994;27;247;;;;;;;;;;;;;;;;;;;;;0;0;0.0
09:15:00;900;1;100;269.5;4.90;1320;223.8;5.67;1268;26;315;;;;;;;;;;;;;;;;;;;;;0;0;0.0
